time (s),v("/Bin" ?result "tran") (V),v("/Ain" ?result "tran") (V),v("/Yout" ?result "tran") (V)
0.000,0.000,0.000,1.000
6.000E-9,0.000,0.000,1.000
18.00E-9,0.000,0.000,1.000
42.00E-9,0.000,0.000,1.000
90.00E-9,0.000,0.000,1.000
186.0E-9,0.000,0.000,1.000
306.0E-9,0.000,0.000,1.000
426.0E-9,0.000,0.000,1.000
546.0E-9,0.000,0.000,1.000
666.0E-9,0.000,0.000,1.000
786.0E-9,0.000,0.000,1.000
906.0E-9,0.000,0.000,1.000
1.000E-6,0.000,0.000,1.000
1.000E-6,0.000,841.7E-6,1.000
1.000E-6,0.000,2.525E-3,1.000
1.001E-6,0.000,5.892E-3,1.000
1.001E-6,0.000,12.63E-3,1.000
1.003E-6,0.000,26.09E-3,1.000
1.005E-6,0.000,53.03E-3,1.000
1.011E-6,0.000,106.9E-3,1.000
1.021E-6,0.000,214.6E-3,1.000
1.043E-6,0.000,430.1E-3,1.000
1.050E-6,0.000,500.0E-3,1.000
1.064E-6,0.000,639.9E-3,1.000
1.082E-6,0.000,819.9E-3,1.000
1.100E-6,0.000,1.000,1.000
1.100E-6,0.000,1.000,1.000
1.100E-6,0.000,1.000,1.000
1.101E-6,0.000,1.000,1.000
1.101E-6,0.000,1.000,1.000
1.103E-6,0.000,1.000,1.000
1.105E-6,0.000,1.000,1.000
1.111E-6,0.000,1.000,1.000
1.121E-6,0.000,1.000,1.000
1.143E-6,0.000,1.000,1.000
1.186E-6,0.000,1.000,1.000
1.272E-6,0.000,1.000,1.000
1.392E-6,0.000,1.000,1.000
1.512E-6,0.000,1.000,1.000
1.632E-6,0.000,1.000,1.000
1.752E-6,0.000,1.000,1.000
1.872E-6,0.000,1.000,1.000
1.992E-6,0.000,1.000,1.000
2.000E-6,0.000,1.000,1.000
2.000E-6,841.7E-6,1.000,1.000
2.000E-6,2.525E-3,1.000,1.000
2.001E-6,5.892E-3,1.000,1.000
2.001E-6,12.63E-3,1.000,1.000
2.003E-6,26.09E-3,1.000,1.000
2.005E-6,53.03E-3,1.000,1.000
2.011E-6,106.9E-3,1.000,1.000
2.021E-6,214.6E-3,1.000,1.000
2.043E-6,430.1E-3,1.000,1.000
2.050E-6,500.0E-3,1.000,1.000
2.064E-6,639.9E-3,1.000,1.000
2.090E-6,900.0E-3,1.000,1.000
2.100E-6,1.000,1.000,900.0E-3
2.100E-6,1.000,1.000,899.2E-3
2.100E-6,1.000,1.000,897.5E-3
2.101E-6,1.000,1.000,894.1E-3
2.101E-6,1.000,1.000,887.4E-3
2.103E-6,1.000,1.000,873.9E-3
2.105E-6,1.000,1.000,847.0E-3
2.111E-6,1.000,1.000,793.1E-3
2.121E-6,1.000,1.000,685.4E-3
2.143E-6,1.000,1.000,469.9E-3
2.167E-6,1.000,1.000,235.0E-3
2.190E-6,1.000,1.000,0.000
2.237E-6,1.000,1.000,0.000
2.262E-6,1.000,1.000,0.000
2.312E-6,1.000,1.000,0.000
2.412E-6,1.000,1.000,0.000
2.532E-6,1.000,1.000,0.000
2.652E-6,1.000,1.000,0.000
2.772E-6,1.000,1.000,0.000
2.892E-6,1.000,1.000,0.000
3.000E-6,1.000,1.000,0.000
3.000E-6,1.000,999.2E-3,0.000
3.000E-6,1.000,997.5E-3,0.000
3.001E-6,1.000,994.1E-3,0.000
3.001E-6,1.000,987.4E-3,0.000
3.003E-6,1.000,973.9E-3,0.000
3.005E-6,1.000,947.0E-3,0.000
3.011E-6,1.000,893.1E-3,0.000
3.021E-6,1.000,785.4E-3,0.000
3.043E-6,1.000,569.9E-3,0.000
3.050E-6,1.000,500.0E-3,0.000
3.064E-6,1.000,360.1E-3,0.000
3.090E-6,1.000,99.97E-3,0.000
3.100E-6,1.000,0.000,99.97E-3
3.100E-6,1.000,0.000,100.8E-3
3.100E-6,1.000,0.000,102.5E-3
3.101E-6,1.000,0.000,105.9E-3
3.101E-6,1.000,0.000,112.6E-3
3.103E-6,1.000,0.000,126.1E-3
3.105E-6,1.000,0.000,153.0E-3
3.111E-6,1.000,0.000,206.9E-3
3.121E-6,1.000,0.000,314.6E-3
3.143E-6,1.000,0.000,530.1E-3
3.167E-6,1.000,0.000,765.0E-3
3.190E-6,1.000,0.000,1.000
3.237E-6,1.000,0.000,1.000
3.262E-6,1.000,0.000,1.000
3.312E-6,1.000,0.000,1.000
3.412E-6,1.000,0.000,1.000
3.532E-6,1.000,0.000,1.000
3.652E-6,1.000,0.000,1.000
3.772E-6,1.000,0.000,1.000
3.892E-6,1.000,0.000,1.000
4.000E-6,1.000,0.000,1.000
4.000E-6,1.000,841.7E-6,1.000
4.000E-6,1.000,2.525E-3,1.000
4.001E-6,1.000,5.892E-3,1.000
4.001E-6,1.000,12.62E-3,1.000
4.003E-6,1.000,26.09E-3,1.000
4.005E-6,1.000,53.02E-3,1.000
4.011E-6,1.000,106.9E-3,1.000
4.021E-6,1.000,214.6E-3,1.000
4.043E-6,1.000,430.1E-3,1.000
4.050E-6,1.000,500.0E-3,1.000
4.064E-6,1.000,639.9E-3,1.000
4.090E-6,1.000,900.0E-3,1.000
4.100E-6,1.000,1.000,900.0E-3
4.100E-6,1.000,1.000,899.2E-3
4.100E-6,1.000,1.000,897.5E-3
4.101E-6,1.000,1.000,894.1E-3
4.101E-6,1.000,1.000,887.4E-3
4.103E-6,1.000,1.000,873.9E-3
4.105E-6,1.000,1.000,847.0E-3
4.111E-6,1.000,1.000,793.1E-3
4.121E-6,1.000,1.000,685.4E-3
4.143E-6,1.000,1.000,469.9E-3
4.167E-6,1.000,1.000,235.0E-3
4.190E-6,1.000,1.000,0.000
4.237E-6,1.000,1.000,0.000
4.262E-6,1.000,1.000,0.000
4.312E-6,1.000,1.000,0.000
4.412E-6,1.000,1.000,0.000
4.532E-6,1.000,1.000,0.000
4.652E-6,1.000,1.000,0.000
4.772E-6,1.000,1.000,0.000
4.892E-6,1.000,1.000,0.000
5.012E-6,1.000,1.000,0.000
5.132E-6,1.000,1.000,0.000
5.252E-6,1.000,1.000,0.000
5.372E-6,1.000,1.000,0.000
5.492E-6,1.000,1.000,0.000
5.612E-6,1.000,1.000,0.000
5.732E-6,1.000,1.000,0.000
5.852E-6,1.000,1.000,0.000
5.926E-6,1.000,1.000,0.000
6.000E-6,1.000,1.000,0.000
