time (s),v("/Ain" ?result "tran") (V),v("/Bin" ?result "tran") (V),v("/Yout" ?result "tran") (V)
0.000,0.000,0.000,1.000
6.000E-9,0.000,0.000,1.000
18.00E-9,0.000,0.000,1.000
42.00E-9,0.000,0.000,1.000
90.00E-9,0.000,0.000,1.000
186.0E-9,0.000,0.000,1.000
306.0E-9,0.000,0.000,1.000
426.0E-9,0.000,0.000,1.000
546.0E-9,0.000,0.000,1.000
666.0E-9,0.000,0.000,1.000
786.0E-9,0.000,0.000,1.000
906.0E-9,0.000,0.000,1.000
1.000E-6,0.000,0.000,1.000
1.000E-6,841.7E-6,0.000,1.000
1.000E-6,2.525E-3,0.000,1.000
1.001E-6,5.892E-3,0.000,1.000
1.001E-6,12.63E-3,0.000,1.000
1.003E-6,26.09E-3,0.000,1.000
1.005E-6,53.03E-3,0.000,1.000
1.011E-6,106.9E-3,0.000,1.000
1.021E-6,214.6E-3,0.000,1.000
1.043E-6,430.1E-3,0.000,1.000
1.050E-6,500.0E-3,0.000,1.000
1.064E-6,639.9E-3,0.000,1.000
1.082E-6,819.9E-3,0.000,1.000
1.100E-6,1.000,0.000,1.000
1.100E-6,1.000,0.000,1.000
1.100E-6,1.000,0.000,1.000
1.101E-6,1.000,0.000,1.000
1.101E-6,1.000,0.000,1.000
1.103E-6,1.000,0.000,1.000
1.105E-6,1.000,0.000,1.000
1.111E-6,1.000,0.000,1.000
1.121E-6,1.000,0.000,1.000
1.143E-6,1.000,0.000,1.000
1.186E-6,1.000,0.000,1.000
1.272E-6,1.000,0.000,1.000
1.392E-6,1.000,0.000,1.000
1.512E-6,1.000,0.000,1.000
1.632E-6,1.000,0.000,1.000
1.752E-6,1.000,0.000,1.000
1.872E-6,1.000,0.000,1.000
1.992E-6,1.000,0.000,1.000
2.000E-6,1.000,0.000,1.000
2.000E-6,1.000,841.7E-6,1.000
2.000E-6,1.000,2.525E-3,1.000
2.001E-6,1.000,5.892E-3,1.000
2.001E-6,1.000,12.63E-3,1.000
2.003E-6,1.000,26.09E-3,1.000
2.005E-6,1.000,53.03E-3,1.000
2.011E-6,1.000,106.9E-3,1.000
2.021E-6,1.000,214.6E-3,1.000
2.043E-6,1.000,430.1E-3,1.000
2.050E-6,1.000,500.0E-3,1.000
2.054E-6,1.000,540.0E-3,1.000
2.059E-6,1.000,590.0E-3,500.0E-3
2.064E-6,1.000,640.0E-3,0.000
2.074E-6,1.000,740.0E-3,0.000
2.082E-6,1.000,815.9E-3,0.000
2.097E-6,1.000,967.6E-3,0.000
2.100E-6,1.000,1.000,0.000
2.100E-6,1.000,1.000,0.000
2.100E-6,1.000,1.000,0.000
2.101E-6,1.000,1.000,0.000
2.101E-6,1.000,1.000,0.000
2.103E-6,1.000,1.000,0.000
2.105E-6,1.000,1.000,0.000
2.111E-6,1.000,1.000,0.000
2.121E-6,1.000,1.000,0.000
2.143E-6,1.000,1.000,0.000
2.186E-6,1.000,1.000,0.000
2.272E-6,1.000,1.000,0.000
2.392E-6,1.000,1.000,0.000
2.512E-6,1.000,1.000,0.000
2.632E-6,1.000,1.000,0.000
2.752E-6,1.000,1.000,0.000
2.872E-6,1.000,1.000,0.000
2.992E-6,1.000,1.000,0.000
3.000E-6,1.000,1.000,0.000
3.000E-6,999.2E-3,1.000,0.000
3.000E-6,997.5E-3,1.000,0.000
3.001E-6,994.1E-3,1.000,0.000
3.001E-6,987.4E-3,1.000,0.000
3.003E-6,973.9E-3,1.000,0.000
3.005E-6,947.0E-3,1.000,0.000
3.011E-6,893.1E-3,1.000,0.000
3.021E-6,785.4E-3,1.000,0.000
3.043E-6,569.9E-3,1.000,0.000
3.050E-6,500.0E-3,1.000,0.000
3.054E-6,460.0E-3,1.000,0.000
3.059E-6,410.0E-3,1.000,1.000
3.069E-6,310.0E-3,1.000,1.000
3.074E-6,255.6E-3,1.000,1.000
3.085E-6,146.7E-3,1.000,1.000
3.100E-6,0.000,1.000,1.000
3.100E-6,0.000,1.000,1.000
3.100E-6,0.000,1.000,1.000
3.101E-6,0.000,1.000,1.000
3.101E-6,0.000,1.000,1.000
3.103E-6,0.000,1.000,1.000
3.105E-6,0.000,1.000,1.000
3.111E-6,0.000,1.000,1.000
3.121E-6,0.000,1.000,1.000
3.143E-6,0.000,1.000,1.000
3.186E-6,0.000,1.000,1.000
3.272E-6,0.000,1.000,1.000
3.392E-6,0.000,1.000,1.000
3.512E-6,0.000,1.000,1.000
3.632E-6,0.000,1.000,1.000
3.752E-6,0.000,1.000,1.000
3.872E-6,0.000,1.000,1.000
3.992E-6,0.000,1.000,1.000
4.000E-6,0.000,1.000,1.000
4.000E-6,841.7E-6,1.000,1.000
4.000E-6,2.525E-3,1.000,1.000
4.001E-6,5.892E-3,1.000,1.000
4.001E-6,12.62E-3,1.000,1.000
4.003E-6,26.09E-3,1.000,1.000
4.005E-6,53.02E-3,1.000,1.000
4.011E-6,106.9E-3,1.000,1.000
4.021E-6,214.6E-3,1.000,1.000
4.043E-6,430.1E-3,1.000,1.000
4.050E-6,500.0E-3,1.000,1.000
4.054E-6,540.0E-3,1.000,1.000
4.059E-6,590.0E-3,1.000,500.0E-3
4.064E-6,640.0E-3,1.000,0.000
4.074E-6,740.0E-3,1.000,0.000
4.082E-6,815.9E-3,1.000,0.000
4.097E-6,967.6E-3,1.000,0.000
4.100E-6,1.000,1.000,0.000
4.100E-6,1.000,1.000,0.000
4.100E-6,1.000,1.000,0.000
4.101E-6,1.000,1.000,0.000
4.101E-6,1.000,1.000,0.000
4.103E-6,1.000,1.000,0.000
4.105E-6,1.000,1.000,0.000
4.111E-6,1.000,1.000,0.000
4.121E-6,1.000,1.000,0.000
4.143E-6,1.000,1.000,0.000
4.186E-6,1.000,1.000,0.000
4.272E-6,1.000,1.000,0.000
4.392E-6,1.000,1.000,0.000
4.512E-6,1.000,1.000,0.000
4.632E-6,1.000,1.000,0.000
4.752E-6,1.000,1.000,0.000
4.872E-6,1.000,1.000,0.000
4.992E-6,1.000,1.000,0.000
5.112E-6,1.000,1.000,0.000
5.232E-6,1.000,1.000,0.000
5.352E-6,1.000,1.000,0.000
5.472E-6,1.000,1.000,0.000
5.592E-6,1.000,1.000,0.000
5.712E-6,1.000,1.000,0.000
5.832E-6,1.000,1.000,0.000
5.916E-6,1.000,1.000,0.000
6.000E-6,1.000,1.000,0.000
