Vds ,deriv(IDC("/I0/Out")) Iref -0.0002 ,deriv(IDC("/I0/Out")) Iref -0.00016 ,deriv(IDC("/I0/Out")) Iref -0.00012 ,deriv(IDC("/I0/Out")) Iref -8e-05 ,deriv(IDC("/I0/Out")) Iref -4e-05 
-1.100,72.62E-6,43.10E-6,16.45E-6,5.877E-6,2.447E-6
-1.000,86.33E-6,56.97E-6,25.49E-6,7.711E-6,2.957E-6
-900.0E-3,100.3E-6,71.72E-6,38.13E-6,11.21E-6,3.578E-6
-800.0E-3,114.4E-6,86.95E-6,53.21E-6,18.20E-6,4.411E-6
-700.0E-3,128.6E-6,102.5E-6,69.60E-6,30.10E-6,5.783E-6
-600.0E-3,142.9E-6,118.2E-6,86.66E-6,46.10E-6,8.810E-6
-500.0E-3,157.3E-6,134.0E-6,104.1E-6,64.35E-6,16.27E-6
-400.0E-3,171.7E-6,150.0E-6,121.8E-6,83.65E-6,30.62E-6
-300.0E-3,186.3E-6,166.0E-6,139.6E-6,103.5E-6,50.19E-6
-200.0E-3,200.9E-6,182.1E-6,157.5E-6,123.6E-6,72.07E-6
-100.0E-3,215.5E-6,198.4E-6,175.6E-6,143.9E-6,94.86E-6
